Company(Maker-if known), Specific Bean Origin or Bar Name,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
Altus aka Cao Artisan,CIAAB Coop,1732.0,2016.0,60%,U.S.A.,2.5,,Bolivia
Altus aka Cao Artisan,Villa Andina,1732.0,2016.0,60%,U.S.A.,2.5,,Peru
Altus aka Cao Artisan,Gruppo Salinas,1732.0,2016.0,60%,U.S.A.,2.75,,Ecuador
Altus aka Cao Artisan,Sur del Lago,1125.0,2013.0,60%,U.S.A.,2.5,,Venezuela
Altus aka Cao Artisan,Conacado,1125.0,2013.0,60%,U.S.A.,3.0,Trinitario,Dominican Republic
Altus aka Cao Artisan,Bolivia,1129.0,2013.0,80%,U.S.A.,3.25,,Bolivia
Altus aka Cao Artisan,Bolivia,1133.0,2013.0,60%,U.S.A.,3.0,,Bolivia
Altus aka Cao Artisan,Peru,1133.0,2013.0,60%,U.S.A.,3.25,,Peru
Amano,Morobe,725.0,2011.0,70%,U.S.A.,4.0,,Papua New Guinea
Amano,Dos Rios,470.0,2010.0,70%,U.S.A.,3.75,,Dominican Republic
Amano,Guayas,470.0,2010.0,70%,U.S.A.,4.0,,Ecuador
Amano,Chuao,544.0,2010.0,70%,U.S.A.,3.0,Trinitario,Venezuela
Amano,Montanya,363.0,2009.0,70%,U.S.A.,3.0,,Venezuela
Amano,"Bali, Jembrana",304.0,2008.0,70%,U.S.A.,2.75,,Indonesia
Amano,Madagascar,129.0,2007.0,70%,U.S.A.,3.5,Trinitario,Madagascar
Amano,Cuyagua,147.0,2007.0,70%,U.S.A.,3.0,,Venezuela
Amano,Ocumare,175.0,2007.0,70%,U.S.A.,3.75,Criollo,Venezuela
Amatller (Simon Coll),Ghana,322.0,2009.0,70%,Spain,3.0,Forastero,Ghana
Amatller (Simon Coll),Ecuador,327.0,2009.0,70%,Spain,2.75,,Ecuador
Amatller (Simon Coll),Ecuador,464.0,2009.0,85%,Spain,2.75,,Ecuador
Amatller (Simon Coll),Ghana,464.0,2009.0,85%,Spain,3.0,Forastero,Ghana
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145.0,2013.0,72%,Peru,3.25,,Peru
Amazona,"Bellavista Gran Pajeten, San Martin",1145.0,2013.0,73%,Peru,3.5,Trinitario,Peru
Ambrosia,Belize,1494.0,2015.0,64%,Canada,3.0,Trinitario,Belize
Ambrosia,Madagascar,1494.0,2015.0,66%,Canada,3.25,Trinitario,Madagascar
Ambrosia,Dominican Republic,1498.0,2015.0,75%,Canada,3.25,,Dominican Republic
Ambrosia,Papua New Guinea,1498.0,2015.0,63%,Canada,3.25,,Papua New Guinea
Ambrosia,Venezuela,1498.0,2015.0,70%,Canada,3.25,,Venezuela
Ambrosia,Peru,1498.0,2015.0,68%,Canada,3.5,,Peru
Amedei,"Piura, Blanco de Criollo",979.0,2012.0,70%,Italy,3.75,,Peru
Amedei,Porcelana,111.0,2007.0,70%,Italy,4.0,Criollo (Porcelana),Venezuela
Amedei,Nine,111.0,2007.0,75%,Italy,4.0,Blend,
Amedei,Chuao,111.0,2007.0,70%,Italy,5.0,Trinitario,Venezuela
Amedei,Ecuador,123.0,2007.0,70%,Italy,3.0,Trinitario,Ecuador
Amedei,Jamaica,123.0,2007.0,70%,Italy,3.0,Trinitario,Jamaica
Amedei,Grenada,123.0,2007.0,70%,Italy,3.5,Trinitario,Grenada
Amedei,Venezuela,123.0,2007.0,70%,Italy,3.75,Trinitario (85% Criollo),Venezuela
Amedei,Madagascar,123.0,2007.0,70%,Italy,4.0,Trinitario (85% Criollo),Madagascar
Amedei,Trinidad,129.0,2007.0,70%,Italy,3.5,Trinitario,Trinidad
Amedei,Toscano Black,170.0,2007.0,63%,Italy,3.5,Blend,
Amedei,Toscano Black,40.0,2006.0,70%,Italy,5.0,Blend,
Amedei,Toscano Black,75.0,2006.0,66%,Italy,4.0,Blend,
AMMA,Catongo,1065.0,2013.0,75%,Brazil,3.25,Forastero (Catongo),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572.0,2010.0,85%,Brazil,2.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572.0,2010.0,50%,Brazil,3.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572.0,2010.0,75%,Brazil,3.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572.0,2010.0,60%,Brazil,4.0,Forastero (Parazinho),Brazil
Anahata,Elvesia,1259.0,2014.0,75%,U.S.A.,3.0,,Dominican Republic
Animas,Alto Beni,1852.0,2016.0,75%,U.S.A.,3.5,,Bolivia
Ara,Madagascar,1375.0,2014.0,75%,France,3.0,Trinitario,Madagascar
Ara,Chiapas,1379.0,2014.0,72%,France,2.5,,Mexico
Ara,Equateur,1379.0,2014.0,75%,France,2.75,,Ecuador
Ara,Trincheras,1379.0,2014.0,75%,France,3.0,,Venezuela
Arete,San Juan,1724.0,2016.0,70%,U.S.A.,3.5,Trinitario,Trinidad
Arete,Kokoa Kamili,1724.0,2016.0,70%,U.S.A.,3.75,,Tanzania
Arete,Tien Giang,1900.0,2016.0,73%,U.S.A.,3.5,Trinitario,Vietnam
Arete,Hacienda Victoria,1904.0,2016.0,70%,U.S.A.,3.25,,Ecuador
Arete,Costa Esmeraldas,1904.0,2016.0,70%,U.S.A.,3.25,,Ecuador
Arete,Lachua,1904.0,2016.0,70%,U.S.A.,3.5,,Guatemala
Arete,Rugoso,1904.0,2016.0,70%,U.S.A.,3.75,,Nicaragua
Arete,"La Masica, FHIA",1908.0,2016.0,70%,U.S.A.,3.5,,Honduras
Arete,"Coto Brus, Terciopelo",1908.0,2016.0,70%,U.S.A.,4.0,,Costa Rica
Arete,Phantom,1924.0,2016.0,70%,U.S.A.,4.0,Forastero (Nacional),Peru
Arete,Elvesia,1928.0,2016.0,70%,U.S.A.,3.75,,Dominican Republic
Arete,Matasawalevu,1928.0,2016.0,70%,U.S.A.,3.25,,Fiji
Arete,Lam Dong,1928.0,2016.0,73%,U.S.A.,3.25,,Vietnam
Arete,Fazenda Camboa,1534.0,2015.0,70%,U.S.A.,3.5,,Brazil
Arete,Nacional,1534.0,2015.0,68%,U.S.A.,3.5,Forastero (Nacional),Peru
Arete,"Puerto Quito, heirloom",1534.0,2015.0,70%,U.S.A.,3.75,Forastero (Nacional),Ecuador
Arete,Oko Caribe,1598.0,2015.0,70%,U.S.A.,3.5,,Domincan Republic
Arete,Maya Mountain,1598.0,2015.0,70%,U.S.A.,3.75,Trinitario,Belize
Arete,Chuno,1598.0,2015.0,70%,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua
Arete,Fazenda Camboa,1602.0,2015.0,75%,U.S.A.,2.75,,Brazil
Arete,Guatemala,1602.0,2015.0,70%,U.S.A.,3.25,,Guatemala
Arete,Camino Verde,1602.0,2015.0,75%,U.S.A.,3.5,,Ecuador
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193.0,2013.0,72%,U.K.,3.25,Trinitario,Trinidad
Artisan du Chocolat,"Colombia, Casa Luker",947.0,2012.0,72%,U.K.,3.75,,Colombia
Artisan du Chocolat,Haiti,729.0,2011.0,72%,U.K.,4.0,,Haiti
Artisan du Chocolat,Panama,745.0,2011.0,72%,U.K.,2.75,,Panama
Artisan du Chocolat,Venezuela,486.0,2010.0,100%,U.K.,1.75,,Venezuela
Artisan du Chocolat,Jamaica,531.0,2010.0,72%,U.K.,3.75,Trinitario,Jamaica
Artisan du Chocolat,Costa Rica,600.0,2010.0,72%,U.K.,3.25,,Costa Rica
Artisan du Chocolat,Ba Ria Vung Tau Province,600.0,2010.0,72%,U.K.,3.25,Trinitario,Vietnam
Artisan du Chocolat,Bali,600.0,2010.0,72%,U.K.,3.5,,Indonesia
Artisan du Chocolat,"Ocumare, Venezuela",355.0,2009.0,75%,U.K.,2.5,"Criollo, Trinitario",Venezuela
Artisan du Chocolat,Java,355.0,2009.0,72%,U.K.,2.75,Trinitario,Indonesia
Artisan du Chocolat,Brazil Rio Doce,363.0,2009.0,72%,U.K.,1.75,,Brazil
Artisan du Chocolat,Madagascar,363.0,2009.0,80%,U.K.,3.0,"Criollo, Trinitario",Madagascar
Artisan du Chocolat,Peru,363.0,2009.0,75%,U.K.,3.0,Criollo,Peru
Artisan du Chocolat,Dominican Republic,363.0,2009.0,72%,U.K.,3.25,Trinitario,Dominican Republic
Artisan du Chocolat,Congo,300.0,2008.0,72%,U.K.,3.75,Forastero,Congo
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181.0,2013.0,72%,U.K.,2.75,Trinitario,Colombia
Askinosie,Mababa,1780.0,2016.0,68%,U.S.A.,3.75,Trinitario,Tanzania
Askinosie,"Tenende, Uwate",647.0,2011.0,72%,U.S.A.,3.75,Trinitario,Tanzania
Askinosie,Cortes,661.0,2011.0,70%,U.S.A.,3.75,Trinitario,Honduras
Askinosie,Davao,331.0,2009.0,77%,U.S.A.,3.75,Trinitario,Philippines
Askinosie,Xoconusco,141.0,2007.0,75%,U.S.A.,2.5,Trinitario,Mexico
Askinosie,San Jose del Tambo,175.0,2007.0,70%,U.S.A.,3.0,Forastero (Arriba),Ecuador
Bahen & Co.,Houseblend,1474.0,2015.0,80%,Australia,3.25,,
Bahen & Co.,Papua New Guinea,1474.0,2015.0,70%,Australia,3.5,,Papua New Guinea
Bahen & Co.,Sambirano,995.0,2012.0,70%,Australia,3.0,Trinitario,Madagascar
Bahen & Co.,Bahia,999.0,2012.0,70%,Australia,2.5,,Brazil
Bahen & Co.,Houseblend,999.0,2012.0,70%,Australia,2.5,Blend,
Bakau,"Bambamarca, 2015",1454.0,2015.0,70%,Peru,2.75,,Peru
Bakau,"Huallabamba, 2015",1454.0,2015.0,70%,Peru,3.5,,Peru
Bar Au Chocolat,Bahia,1554.0,2015.0,70%,U.S.A.,3.5,,Brazil
Bar Au Chocolat,Maranon Canyon,1295.0,2014.0,70%,U.S.A.,4.0,Forastero (Nacional),Peru
Bar Au Chocolat,Duarte Province,983.0,2012.0,70%,U.S.A.,3.25,,Dominican Republic
Bar Au Chocolat,Chiapas,983.0,2012.0,70%,U.S.A.,3.5,,Mexico
Bar Au Chocolat,Sambirano,983.0,2012.0,70%,U.S.A.,3.75,Trinitario,Madagascar
Baravelli's,single estate,955.0,2012.0,80%,Wales,2.75,,Costa Rica
Batch,"Dominican Republic, Batch 3",1840.0,2016.0,65%,U.S.A.,3.5,,Domincan Republic
Batch,Brazil,1868.0,2016.0,70%,U.S.A.,3.75,,Brazil
Batch,Ecuador,1880.0,2016.0,65%,U.S.A.,3.25,,Ecuador
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948.0,2017.0,73%,U.K.,3.0,,Malaysia
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948.0,2017.0,72%,U.K.,3.25,,Malaysia
Beehive,"Brazil, Batch 20316",1784.0,2016.0,80%,U.S.A.,2.75,,Brazil
Beehive,"Dominican Republic, Batch 31616",1784.0,2016.0,70%,U.S.A.,2.75,,Domincan Republic
Beehive,"Ecuador, Batch 31516",1784.0,2016.0,70%,U.S.A.,2.75,,Ecuador
Beehive,Ecuador,1788.0,2016.0,90%,U.S.A.,2.75,,Ecuador
Belcolade,Costa Rica,586.0,2010.0,64%,Belgium,2.75,,Costa Rica
Belcolade,Papua New Guinea,586.0,2010.0,64%,Belgium,2.75,,Papua New Guinea
Belcolade,Peru,586.0,2010.0,64%,Belgium,2.75,,Peru
Belcolade,Ecuador,586.0,2010.0,71%,Belgium,3.5,,Ecuador
Bellflower,"Kakao Kamili, Kilombero Valley",1800.0,2016.0,70%,U.S.A.,3.5,"Criollo, Trinitario",Tanzania
Bellflower,"Alto Beni, Palos Blanco",1804.0,2016.0,70%,U.S.A.,3.25,,Bolivia
Bellflower,"Oko Caribe, Duarte P.",1864.0,2016.0,70%,U.S.A.,3.5,,Domincan Republic
Belyzium,"Belize south, low fermentation",1768.0,2016.0,83%,Germany,2.75,Trinitario,Belize
Belyzium,Belize south,1768.0,2016.0,78%,Germany,3.0,Trinitario,Belize
Belyzium,Belize south,1768.0,2016.0,83%,Germany,3.5,Trinitario,Belize
Benoit Nihant,Baracoa,1141.0,2013.0,74%,Belgium,3.5,Trinitario,Cuba
Benoit Nihant,Chuao,1141.0,2013.0,74%,Belgium,3.5,Criollo,Venezuela
Benoit Nihant,Cuyagua Village,1141.0,2013.0,74%,Belgium,3.5,Criollo,Venezuela
Benoit Nihant,Rio Peripa H.,1141.0,2013.0,73%,Belgium,4.0,Trinitario,Ecuador
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757.0,2011.0,72%,Belgium,4.0,Trinitario,Indonesia
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773.0,2011.0,72%,Belgium,3.75,Trinitario,Madagascar
Bernachon,Nature,797.0,2012.0,55%,France,2.75,,
Beschle (Felchlin),Madagascar,636.0,2011.0,64%,Switzerland,3.0,Trinitario,Madagascar
Beschle (Felchlin),Maracaibo,636.0,2011.0,88%,Switzerland,3.0,Criollo,Venezuela
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636.0,2011.0,72%,Switzerland,3.5,,Venezuela
Beschle (Felchlin),Ecuador,636.0,2011.0,72%,Switzerland,4.0,,Ecuador
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508.0,2010.0,70%,Switzerland,3.25,Trinitario,Venezuela
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508.0,2010.0,74%,Switzerland,3.25,Criollo (Porcelana),Venezuela
Beschle (Felchlin),"Java, Grand Cru",508.0,2010.0,64%,Switzerland,3.5,,Indonesia
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508.0,2010.0,72%,Switzerland,3.5,,Venezuela
Bisou,"Nicaragua, American style",1482.0,2015.0,76%,U.S.A.,2.5,,Nicaragua
Bisou,"San Andres, American style",1486.0,2015.0,76%,U.S.A.,2.5,,Costa Rica
Bisou,"San Andres, silk",1486.0,2015.0,78%,U.S.A.,2.5,,Costa Rica
Bisou,Belize,1486.0,2015.0,86%,U.S.A.,3.25,Trinitario,Belize
Bittersweet Origins,Ghana,963.0,2012.0,72%,U.S.A.,3.5,Forastero,Ghana
Bittersweet Origins,"Bali, Singaraja",478.0,2010.0,75%,U.S.A.,3.25,,Indonesia
Bittersweet Origins,2009 Hapa Nibby,502.0,2010.0,70%,U.S.A.,3.75,Blend,"Dominican Rep., Bali"
Bittersweet Origins,"Bali, Singaraja",558.0,2010.0,65%,U.S.A.,2.75,,Indonesia
Bittersweet Origins,"Sambirano, 2009",565.0,2010.0,70%,U.S.A.,3.0,Trinitario,Madagascar
Bittersweet Origins,"Ocumare, prototype",565.0,2010.0,78%,U.S.A.,3.0,Criollo,Venezuela
Bittersweet Origins,Puerto Plata,414.0,2009.0,75%,U.S.A.,3.0,,Dominican Republic
Bittersweet Origins,Puerto Plata,414.0,2009.0,65%,U.S.A.,3.5,,Dominican Republic
Bittersweet Origins,Sambirano,423.0,2009.0,75%,U.S.A.,3.25,Trinitario,Madagascar
Bittersweet Origins,Sambirano,431.0,2009.0,65%,U.S.A.,3.5,Trinitario,Madagascar
Bittersweet Origins,Sambirano,233.0,2008.0,71%,U.S.A.,3.0,Trinitario,Madagascar
Bittersweet Origins,Bocas del Toro,233.0,2008.0,75%,U.S.A.,3.5,,Panama
Bittersweet Origins,Puerto Plata,233.0,2008.0,68%,U.S.A.,3.75,,Dominican Republic
Bittersweet Origins,Ankasa,256.0,2008.0,70%,U.S.A.,3.0,Forastero,Ghana
Black Mountain,La Red,256.0,2008.0,70%,U.S.A.,2.75,,Dominican Republic
Black Mountain,Carenero Superior,256.0,2008.0,70%,U.S.A.,2.75,Trinitario,Venezuela
Black Mountain,Matiguas,256.0,2008.0,70%,U.S.A.,3.0,,Nicaragua
Black River (A. Morin),Blue Mountain Region,1331.0,2014.0,70%,U.K.,2.75,Trinitario,Jamaica
Blanxart,"Congo, Grand Cru",1046.0,2013.0,82%,Spain,3.5,Forastero,Congo
Blanxart,Organic Dark,322.0,2009.0,72%,Spain,2.75,,
Blue Bandana,"Akesson's E., Sambirano V.",1740.0,2016.0,82%,U.S.A.,3.5,Trinitario,Madagascar
Blue Bandana,Lachua,1752.0,2016.0,75%,U.S.A.,2.75,,Guatemala
Blue Bandana,Kokoa Kamili,1752.0,2016.0,75%,U.S.A.,3.5,,Tanzania
Blue Bandana,Zorzal Reserva,1756.0,2016.0,75%,U.S.A.,3.0,,Dominican Republic
Blue Bandana,Guatemala,911.0,2012.0,70%,U.S.A.,3.5,,Guatemala
Blue Bandana,Madagascar,911.0,2012.0,70%,U.S.A.,3.75,Trinitario,Madagascar
Bonnat,Selva Maya,1912.0,2016.0,75%,France,3.5,,Mexico
Bonnat,Kaori,1339.0,2014.0,75%,France,4.0,,Brazil
Bonnat,"Los Colorados, Santo Domingo, Equateur",1418.0,2014.0,75%,France,3.25,,Dominican Republic
Bonnat,Surfin,1418.0,2014.0,65%,France,3.75,,"Venez,Africa,Brasil,Peru,Mex"
Bonnat,Maragnam,1038.0,2013.0,75%,France,3.5,,Brazil
Bonnat,Gabon,1042.0,2013.0,75%,France,3.25,,Gabon
Bonnat,Cuba,629.0,2011.0,75%,France,3.5,Trinitario,Cuba
Bonnat,"Cusco, Cacao Cusco",629.0,2011.0,75%,France,3.5,,Peru
Bonnat,Piura Blanco,629.0,2011.0,75%,France,3.5,Forastero (Nacional),Peru
Bonnat,Libanio,629.0,2011.0,75%,France,3.75,,Brazil
Bonnat,Haiti,629.0,2011.0,75%,France,4.0,,Haiti
Bonnat,"Madagascar, 100% criollo",629.0,2011.0,75%,France,4.0,Criollo,Madagascar
Bonnat,Juliana,672.0,2011.0,75%,France,3.5,,Brazil
Bonnat,Jamaique,761.0,2011.0,75%,France,3.25,Trinitario,Jamaica
Bonnat,Ivory Coast,331.0,2009.0,75%,France,3.0,,Ivory Coast
Bonnat,"Porcelana, Apotequil",336.0,2009.0,75%,France,2.75,Criollo,Peru
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336.0,2009.0,75%,France,3.0,Criollo,Mexico
Bonnat,"Xoconusco, cacao Real",395.0,2009.0,75%,France,3.0,Criollo,Mexico
Bonnat,"Porcelana, Venezuela",199.0,2008.0,75%,France,4.0,Criollo (Porcelana),Venezuela
Bonnat,Equateur,123.0,2007.0,75%,France,2.5,Forastero (Arriba),Ecuador
Bonnat,Trinite,24.0,2006.0,75%,France,3.75,Trinitario,Carribean
Bonnat,"Ocumare, Puerto Cabello",32.0,2006.0,75%,France,4.0,,Venezuela
Bonnat,"Maracaibo, El Rosario",48.0,2006.0,75%,France,4.0,Criollo,Venezuela
Bonnat,Madagascar,75.0,2006.0,75%,France,4.0,Trinitario,Madagascar
Bonnat,One Hundred,81.0,2006.0,100%,France,1.5,,
Bonnat,Ceylan,81.0,2006.0,75%,France,3.0,,Sri Lanka
Bonnat,Chuao,81.0,2006.0,75%,France,4.0,Trinitario,Venezuela
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316.0,2009.0,77%,Ecuador,3.25,Forastero (Arriba),Ecuador
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341.0,2009.0,100%,Ecuador,1.5,Forastero (Arriba),Ecuador
Bowler Man,Maya Mountain,1267.0,2014.0,70%,U.S.A.,2.75,Trinitario,Belize
Bowler Man,Conacado,1271.0,2014.0,70%,U.S.A.,2.75,,Dominican Republic
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868.0,2016.0,70%,U.S.A.,3.5,Criollo,Venezuela
Brasstown aka It's Chocolate,"O'payo, Waslala",1868.0,2016.0,70%,U.S.A.,3.75,,Nicaragua
Brasstown aka It's Chocolate,Conacado,1462.0,2015.0,68%,U.S.A.,3.75,,Dominican Republic
Brasstown aka It's Chocolate,Maya Mountain,1255.0,2014.0,70%,U.S.A.,3.75,Trinitario,Belize
Brasstown aka It's Chocolate,Chuao,1355.0,2014.0,70%,U.S.A.,4.0,Trinitario,Venezuela
Brasstown aka It's Chocolate,Cooproagro,1125.0,2013.0,72%,U.S.A.,3.0,Trinitario,Dominican Republic
Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125.0,2013.0,70%,U.S.A.,3.25,,Ecuador
Brasstown aka It's Chocolate,Ghana,1129.0,2013.0,75%,U.S.A.,3.5,Forastero,Ghana
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129.0,2013.0,85%,U.S.A.,3.5,Trinitario,Venezuela
Brazen,Elvesia P.,1514.0,2015.0,60%,U.S.A.,3.0,,Dominican Republic
Brazen,Elvesia P.,1514.0,2015.0,80%,U.S.A.,3.25,,Dominican Republic
Brazen,"Alta Verapaz, 2014",1514.0,2015.0,70%,U.S.A.,3.5,,Guatemala
Brazen,Ambolikapiky P.,1518.0,2015.0,80%,U.S.A.,2.75,,Madagascar
Brazen,Maya Mountain,1518.0,2015.0,80%,U.S.A.,3.25,Trinitario,Belize
Brazen,Ambolikapkly P.,1518.0,2015.0,60%,U.S.A.,3.25,,Madagascar
Breeze Mill,Jamaica,1149.0,2013.0,70%,U.S.A.,3.0,Trinitario,Jamaica
Bright,Somia Plantation,1231.0,2014.0,72%,Australia,3.0,Trinitario,Madagascar
Bright,Marabel Farms,1231.0,2014.0,70%,Australia,3.5,,Dominican Republic
Bright,"Camino Verde, Balao, Guayas",1231.0,2014.0,72%,Australia,3.5,,Ecuador
Bright,Gran Couva,1235.0,2014.0,68%,Australia,2.75,Trinitario,Trinidad
Britarev,Ecuador,1638.0,2015.0,70%,Russia,3.25,,Ecuador
Bronx Grrl Chocolate,Dominican Republic,1181.0,2013.0,68%,U.S.A.,2.75,,Dominican Republic
Burnt Fork Bend,Trinidad,1299.0,2014.0,72%,U.S.A.,3.25,Trinitario,Trinidad
Burnt Fork Bend,Mindo,1299.0,2014.0,72%,U.S.A.,3.5,,Ecuador
Burnt Fork Bend,Belize,1303.0,2014.0,72%,U.S.A.,3.25,Trinitario,Belize
Burnt Fork Bend,Blend,1303.0,2014.0,72%,U.S.A.,3.25,Blend,
Burnt Fork Bend,"Ecuador, Bob Bar",1323.0,2014.0,60%,U.S.A.,2.5,,Ecuador
Cacao Arabuco,Puerto Rico,1606.0,2015.0,70%,Puerto Rico,2.5,,Puerto Rico
Cacao Atlanta,Tumbes,1215.0,2014.0,75%,U.S.A.,2.5,Criollo,Peru
Cacao Atlanta,"Dominican Republic, ""Love Bar""",502.0,2010.0,75%,U.S.A.,2.5,,Dominican Republic
Cacao Atlanta,Dominican Republic w/ nibs,502.0,2010.0,75%,U.S.A.,2.75,,Dominican Republic
Cacao Atlanta,Patanemo,600.0,2010.0,75%,U.S.A.,2.25,,Venezuela
Cacao Barry,Grand 'Anse,1716.0,2016.0,65%,France,3.5,"Trinitario, Criollo",Haiti
Cacao Barry,Santo Domingo,586.0,2010.0,70%,France,3.0,,Dominican Republic
Cacao Barry,Tanzania,300.0,2008.0,75%,France,2.0,,Tanzania
Cacao Barry,Venezuela,141.0,2007.0,72%,France,2.0,,Venezuela
Cacao Barry,Mexico,147.0,2007.0,66%,France,3.0,,Mexico
Cacao de Origen,Chuao,1688.0,2015.0,77%,Venezuela,3.5,Trinitario,Venezuela
Cacao de Origen,Rio Caribe,1692.0,2015.0,75%,Venezuela,3.25,Trinitario,Venezuela
